timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
58,260.74774061301764,0.0,254.17432766401893,1.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,,,,,,,,,,,1.0
59,254.17432766401893,0.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,,,,,,,,,,,1.0
60,241.57639974305258,0.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,,,,,,,,,,,1.0
61,241.57639974305258,0.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,,,,,,,,,,,1.0
62,243.81146929126737,0.0,241.26467324949897,1.0,240.54921219355305,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,,,,,,,,,,,1.0
63,243.81146929126737,0.0,241.26467324949897,1.0,240.54921219355305,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,,,,,,,,,,,1.0
64,244.54290369914116,2.95094214438717,243.06743262694758,1.0,241.26467324949897,1.0,240.54921219355305,1.0,232.9445767586717,1.0,232.28033638416565,1.0,246.01837477133475,1.0,,,,,,,,,0.6666666666666666
65,231.90662870309146,0.0,,,,,,,,,,,246.01837477133475,1.0,246.75618758671843,1.0,,,,,,,-1.0
66,246.75618758671843,0.0,,,,,,,,,,,,,,,,,,,,,0.0
67,246.75618758671843,3.317728316998455,245.0973234282192,1.0,,,,,,,,,248.41505174521765,1.0,,,,,,,,,0.0
68,244.90551617981805,0.0,,,,,,,,,,,,,,,,,,,,,0.0
69,246.74230755116668,0.0,243.06872480846943,1.0,,,,,,,,,,,,,,,,,,,1.0
70,248.71624601157603,0.0,245.0151113983085,1.0,243.06872480846943,1.0,,,,,,,,,,,,,,,,,1.0
71,248.96496225758762,3.6691255516205956,247.13039948177732,1.0,245.0151113983085,1.0,243.06872480846943,1.0,,,,,250.7995250333979,1.0,,,,,,,,,0.5
72,251.05270829082028,0.0,247.37514614887013,1.0,247.13039948177732,1.0,245.0151113983085,1.0,243.06872480846943,1.0,,,,,,,,,,,,,1.0
73,251.5548137074019,3.7082452439696567,249.70069108541708,1.0,247.37514614887013,1.0,247.13039948177732,1.0,245.0151113983085,1.0,243.06872480846943,1.0,253.40893632938673,1.0,,,,,,,,,0.6666666666666666
74,250.26966790558203,6.278536847609416,247.13039948177732,1.0,245.0151113983085,1.0,243.06872480846943,1.0,,,,,253.40893632938673,1.0,,,,,,,,,0.5
75,243.06872480846943,0.0,,,,,,,,,,,253.40893632938673,1.0,,,,,,,,,-1.0
76,242.94719044606518,3.475543249455484,241.20941882133744,1.0,,,,,,,,,244.68496207079292,1.0,253.40893632938673,1.0,,,,,,,-0.3333333333333333
77,253.40893632938673,0.0,241.20941882133744,1.0,,,,,,,,,,,,,,,,,,,1.0
78,253.40893632938673,0.0,241.20941882133744,1.0,,,,,,,,,,,,,,,,,,,1.0
79,253.53564079755142,3.8011340449407953,251.63507377508103,1.0,241.20941882133744,1.0,,,,,,,255.43620782002182,1.0,,,,,,,,,0.3333333333333333
80,253.5985495659952,3.6753165080532426,251.76089131196858,1.0,251.63507377508103,1.0,241.20941882133744,1.0,,,,,255.43620782002182,1.0,255.56392592393183,1.0,,,,,,,0.2
81,253.69982388757566,3.472767864892319,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,241.20941882133744,1.0,,,255.43620782002182,1.0,255.4872577264269,1.0,255.56392592393183,1.0,,,,,0.14285714285714285
82,253.75017012786122,3.3720753843211924,252.06413243570063,1.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,241.20941882133744,1.0,255.43620782002182,1.0,255.4872577264269,1.0,255.56392592393183,1.0,255.58921516333828,1.0,,,0.1111111111111111
83,253.81402917981623,3.499793488231205,252.06413243570063,1.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,241.20941882133744,1.0,255.56392592393183,1.0,255.58921516333828,1.0,,,,,,,0.42857142857142855
84,252.06413243570063,0.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,241.20941882133744,1.0,,,,,,,,,,,,,1.0
85,254.31695379481815,0.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,250.81956760632593,1.0,241.20941882133744,1.0,,,,,,,,,,,1.0
86,254.31695379481815,0.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,250.81956760632593,1.0,241.20941882133744,1.0,,,,,,,,,,,1.0
87,254.95274617930517,2.5370069678589005,253.68424269537573,1.0,251.9634399551295,1.0,251.76089131196858,1.0,251.63507377508103,1.0,250.81956760632593,1.0,256.22124966323463,1.0,,,,,,,,,0.6666666666666666
88,254.31134704968065,5.100911475424141,251.76089131196858,1.0,251.63507377508103,1.0,250.81956760632593,1.0,241.20941882133744,1.0,,,256.8618027873927,1.0,,,,,,,,,0.6
89,249.0356108043651,15.652383966055282,241.20941882133744,1.0,,,,,,,,,256.8618027873927,1.0,,,,,,,,,0.0
90,256.8618027873927,0.0,247.80391419448333,1.0,241.20941882133744,1.0,,,,,,,,,,,,,,,,,1.0
91,258.43362082022225,0.0,255.803708360138,1.0,247.80391419448333,1.0,241.20941882133744,1.0,,,,,,,,,,,,,,,1.0
92,250.72032500422404,19.02181236577323,241.20941882133744,1.0,,,,,,,,,260.23123118711067,1.0,,,,,,,,,0.0
93,250.72032500422404,2.7312861551178003,249.35468192666514,1.0,241.20941882133744,1.0,,,,,,,252.08596808178294,1.0,260.23123118711067,1.0,,,,,,,0.0
94,250.72032500422404,2.7312861551178003,249.35468192666514,1.0,249.27458882864127,1.0,241.20941882133744,1.0,,,,,252.08596808178294,1.0,252.1660611798068,1.0,260.23123118711067,1.0,,,,,0.0
95,260.23123118711067,0.0,249.35468192666514,1.0,249.27458882864127,1.0,241.20941882133744,1.0,,,,,,,,,,,,,,,1.0
96,260.62157803389135,2.8402315794702417,259.20146224415623,1.0,249.35468192666514,1.0,249.27458882864127,1.0,241.20941882133744,1.0,,,262.0416938236265,1.0,,,,,,,,,0.6
97,262.53652547851044,0.0,259.4884953233739,1.0,259.20146224415623,1.0,249.35468192666514,1.0,249.27458882864127,1.0,241.20941882133744,1.0,,,,,,,,,,,1.0
98,264.5897671455216,0.0,261.7959664388918,1.0,259.4884953233739,1.0,259.20146224415623,1.0,249.35468192666514,1.0,249.27458882864127,1.0,,,,,,,,,,,1.0
99,266.7941890968377,0.0,,,,,,,,,,,,,,,,,,,,,0.0
100,266.7941890968377,2.850752329563079,265.3688129320562,1.0,,,,,,,,,268.21956526161927,1.0,,,,,,,,,0.0
101,265.3659774252698,0.0,,,,,,,,,,,268.21956526161927,1.0,268.22240076840563,1.0,,,,,,,-1.0
