timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
6845,65.31847574324364,0.0,,,,,,,,,,,65.86769038004043,1.0,66.23711978878416,1.0,66.88493556733265,1.0,67.80162725222935,1.0,68.5016690327371,1.0,-1.0
6846,64.89390565091256,0.5096596924341839,64.63907580469547,1.0,,,,,,,,,65.14873549712965,1.0,65.86769038004043,1.0,66.23711978878416,1.0,66.88493556733265,1.0,67.80162725222935,1.0,-0.6666666666666666
6847,65.14873549712965,0.0,,,,,,,,,,,65.86769038004043,1.0,66.23711978878416,1.0,66.88493556733265,1.0,67.80162725222935,1.0,68.5016690327371,1.0,-1.0
6848,72.2256260536833,0.0,,,,,,,,,,,73.81670715006999,1.0,74.1488823322453,1.0,74.31447166055969,1.0,,,,,-1.0
6849,73.07419551225584,2.480552296607712,71.83391936395198,1.0,,,,,,,,,74.31447166055969,1.0,,,,,,,,,0.0
6850,73.07419551225584,1.0916117189189833,72.52838965279635,1.0,71.83391936395198,1.0,,,,,,,73.62000137171533,1.0,74.31447166055969,1.0,,,,,,,0.0
6851,74.31447166055969,0.0,,,,,,,,,,,,,,,,,,,,,0.0
6852,73.76683005850694,0.0,,,,,,,,,,,74.86211326261244,1.0,,,,,,,,,-1.0
6853,73.76683005850694,0.0,,,,,,,,,,,74.86211326261244,1.0,,,,,,,,,-1.0
6854,73.76683005850694,0.0,,,,,,,,,,,74.86211326261244,1.0,,,,,,,,,-1.0
6855,73.76683005850694,0.0,,,,,,,,,,,74.86211326261244,1.0,,,,,,,,,-1.0
6856,73.18670575210614,0.0,,,,,,,,,,,74.27318753484924,1.0,74.86211326261244,1.0,,,,,,,-1.0
6857,73.11351904635403,1.0777614861611653,72.57463830327345,1.0,,,,,,,,,73.65239978943461,1.0,74.27318753484924,1.0,74.86211326261244,1.0,,,,,-0.5
6858,73.07755191669605,1.0058272268452129,72.57463830327345,1.0,72.50034552449668,1.0,,,,,,,73.58046553011866,1.0,73.65239978943461,1.0,74.27318753484924,1.0,74.86211326261244,1.0,,,-0.3333333333333333
6859,73.02171167598915,1.0427323029849447,72.50034552449668,1.0,72.46587090207709,1.0,,,,,,,73.54307782748162,1.0,73.58046553011866,1.0,73.65239978943461,1.0,74.27318753484924,1.0,74.86211326261244,1.0,-0.42857142857142855
6860,73.02171167598915,1.0427323029849447,72.50034552449668,1.0,72.46587090207709,1.0,,,,,,,73.54307782748162,1.0,73.58046553011866,1.0,73.65239978943461,1.0,74.27318753484924,1.0,74.86211326261244,1.0,-0.42857142857142855
6861,72.9568994281376,0.9820570521210215,72.46587090207709,1.0,72.37643026275224,1.0,,,,,,,73.44792795419811,1.0,73.54307782748162,1.0,73.58046553011866,1.0,73.65239978943461,1.0,74.27318753484924,1.0,-0.42857142857142855
